
SN,STATUS,ACCOUNT,Country,GROUP,PARENT COMPANY NAME,PARENT COMPNAY CODE,Plant Name,PLANT CODE,Site Name,X,SITE CODE,System SN,Model,
151,NO GO ,NO GO ,Syria,Lafarge-Holcim,Lafarge Cement-Aleppo-Syria,#REF!,Lafarge-Syria,#REF!,Aleppo,1,#REF!,822217,OMNI,
152,NO GO ,NO GO ,Syria,HAMA,Hama Cement Company,#REF!,Hama Cement,#REF!,Hama,1,#REF!,821039,CBX,
153,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,Buyuk-1,01,#REF!,826024,OMNI-R,
154,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,Buyuk-2,02,#REF!,824083,OMNI,
155,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,Chanakale-1,01,#REF!,826035,OMNI-R,
156,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,Chanakale-2,02,#REF!,824082,OMNI,
157,WARRANTY,THERMO,Turkey,AKCANSA,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,Chanakale-3,3,#REF!,,OMNI,
158,T&M,SPECTRA,Turkey,OYAK,OYAK-BOLU CEMENT,#REF!,OYAK-BOLU CEMENT,#REF!,Bolu-Bolu,1,#REF!,824079,CBX,
159,T&M,SPECTRA,Turkey,OYAK,OYAK-BOLU ANKARA CEMENT,#REF!,OYAK-BOLU ANKARA CEMENT,#REF!,Bolu-Ankara,1,#REF!,891199,OMNI,
160,T&M,THERMO,Turkey,OYAK,OYAK Aslan Cimento,#REF!,OYAK Aslan Cimento,#REF!,Kocaeli,1,#REF!,,OMNI,
161,T&M,SPECTRA,Turkey,OYAK,OYAK-Adana Cement Company,#REF!,OYAK-Adana Cement Company,#REF!,Adana,1,#REF!,821078,CBX,
162,T&M,SPECTRA,Turkey,OYAK,OYAK-Denizli Cement Plant,#REF!,OYAK-Denizli Cement Plant,#REF!,Denizli,1,#REF!,822268,OMNI,
163,T&M,SPECTRA,Turkey,OYAK,OYAK-Mardin-Cement -New OMNI,#REF!,OYAK-Mardin-Cement -New OMNI,#REF!,Mardin-2,1,#REF!,822352,OMNI,
164,NOT KNOWN,SPECTRA,Turkey,OYAK,OYAK-OYSA Nigde,#REF!,OYAK-OYSA Nigde,#REF!,Nigde,1,#REF!,825048,FSA,
165,NOT KNOWN,SPECTRA,Turkey,OYAK,OYAK-Unye Cimentos ,#REF!,OYAK-Unye Cimentos ,#REF!,Unye,1,#REF!,820088,CBGN,
166,T&M,SPECTRA,Turkey,CIMENTAS,Cimentas-Elazig Cement Company,#REF!,Cimentas-Elazig Cement Company,#REF!,Elazig,1,#REF!,821048,CBX,
167,T&M,SPECTRA,Turkey,CIMENTAS,Cimentas-Izmir Cimento Frabrikasi,#REF!,Cimentas-Izmir Cimento Frabrikasi,#REF!,Izmir,1,#REF!,820039,CBA-GN,
168,TF-PSA,THERMO,Turkey,CIMSA,Cimsa- Eskeshir- Cement,#REF!,Cimsa- Eskeshir- Cement,#REF!,Eskeshir,1,#REF!,821123,OMNI-R,
169,TF-PSA,THERMO,Turkey,CIMSA,Cimsa-Marsin Cement,#REF!,Cimsa-Marsin Cement,#REF!,Marsin-1,1,#REF!,891105,OMNI,
170,TF-PSA,THERMO,Turkey,CIMSA,Cimsa-Marsin Cement,#REF!,Cimsa-Marsin Cement,#REF!,Marsin-2,2,#REF!,891104,OMNI,
171,TF-PSA,THERMO,Turkey,CIMSA,Cimsa-Keyseri Cement,#REF!,Cimsa-Keyseri Cement,#REF!,Keysire,1,#REF!,891103,OMNI,
172,SL-PSA,SPECTRA,Turkey,LIMAK,Lemak-Sanliurfa Cement Plant,#REF!,Lemak-Sanliurfa Cement Plant,#REF!,Sanliurfa,01,#REF!,822221,OMNI,
173,SL-PSA,SPECTRA,Turkey,LIMAK,Limak-Trakya Cement,#REF!,Limak-Trakya Cement,#REF!,Trakya,01,#REF!, ,OMNI,
174,SL-PSA,SPECTRA,Turkey,LIMAK,Limak-Trakya (Ankara) Cement Plant,#REF!,Limak-Trakya (Ankara) Cement Plant,#REF!,Set  Ankara (Trakya),02,#REF!,821121,CBX,
175,SL-PSA,SPECTRA,Turkey,LIMAK,Limak-Balikesir Cement,#REF!,Limak-Balikesir Cement,#REF!,Balikesir,01,#REF!,891112,OMNI,
176,T&M,SPECTRA,Turkey,AS,AS Cement - Rawmix System-Line-1,#REF!,AS Cement - Rawmix System-Line-1,#REF!,AS 1,1,#REF!,821141,CBX,
177,T&M,SPECTRA,Turkey,AS,AS Cement - Rawmix System-Line-2,#REF!,AS Cement - Rawmix System-Line-2,#REF!,AS 2,2,#REF!,821142,CBX,
178,T&M,SPECTRA,Turkey,AS,AS Cement - Stockpile System,#REF!,AS Cement - Stockpile System,#REF!,AS 3,3,#REF!,821143,CBX,
179,T&M,SPECTRA,Turkey,KIPAS,Kipas- Stockpile System,#REF!,Kipas- Stockpile System,#REF!,Kipas,1,#REF!,821144,CBX,
180,T&M,SPECTRA,Turkey,NUH,Nuh Cement Compnay,#REF!,Nuh Cement Compnay,#REF!,NUH-1,1,#REF!,821012,CBX,
181,T&M,SPECTRA,Turkey,NUH,Nuh Cement Compnay,#REF!,Nuh Cement Compnay,#REF!,NUH-2,2,#REF!,821013,CBX,
182,Decom,SPECTRA,Turkey,NUH,Nuh Cement Compnay,#REF!,Nuh Cement Compnay,#REF!,Nuh,3,#REF!,820037,CBA,
183,TF-PSA,THERMO,Turkey,GOLTAS,Goltas Cement Company,#REF!,Goltas Cement Company,#REF!,Goltas-1,,#REF!,822187,OMNI,
184,TF-PSA,THERMO,Turkey,GOLTAS,Goltas Cement Company,#REF!,Goltas Cement Company,#REF!,Goltas-2,,#REF!,822188,OMNI,
185,SL-PSA,SPECTRA,Turkey,ASKALE,Askale-Von Cement Plant,#REF!,Askale-Von Cement Plant,#REF!,Von,01,#REF!,822313,OMNI,
186,SL-PSA,SPECTRA,Turkey,ASKALE,Askale-Erzurum-Cement Plant,#REF!,Askale-Erzurum-Cement Plant,#REF!,Erzurim,,#REF!,822319,OMNI,
187,SL-PSA,SPECTRA,Turkey,ASKALE,Asakale-Gumushane Ceement Plant,#REF!,Asakale-Gumushane Ceement Plant,#REF!,Gumushane,,#REF!,822330,OMNI,
188,TF-PSA,THERMO,Turkey,BATICEM,Baticem Cement Plant,#REF!,Baticem Cement Plant,#REF!,Baticem,1,#REF!,822337,OMNI,
189,TF-PSA,THERMO,Turkey,BATISOKE,Batisoke Cement Plant,#REF!,Batisoke Cement Plant,#REF!,Batisoke-1,1,#REF!,823132,OMNI,
190,TF-PSA,THERMO,Turkey,BATISOKE,Batisoke Cimento,#REF!,Batisoke Cimento,#REF!,Batisoke-2,2,#REF!,823133,OMNI-N,
191,TF-PSA,THERMO,Turkey,BATISOKE,Batisoke Cimento,#REF!,Batisoke Cimento,#REF!,Batisoke-3,3,#REF!,891113,OMNI-N,
192,T&M,THERMO,Turkey,YURT,Yurt Cimento San. Tic.A.S.,#REF!,Yurt Cimento San. Tic.A.S.,#REF!,Mus,1,#REF!,,OMNI,
193,T&M,THERMO,Turkey,SYCS,SYCS-ELAZIG,#REF!,SYCS-ELAZIG,#REF!,SYCS-1,1,#REF!,,OMNI,
194,T&M,THERMO,Turkey,SYCS,SYCS-ELAZIG,#REF!,SYCS-ELAZIG,#REF!,SYCS-2,2,#REF!,,OMNI,
195,TFS-EU,THERMO,Ukraine,LATCEM,Altcem,#REF!,Altcem,#REF!,Krimfa,1,#REF!,,OMNI,
196,TFS-EU,THERMO,Ukraine,Lafarge-Holcim,Holcim - Shurovo,#REF!,Holcim - Shurovo,#REF!,Shurovo,1,#REF!,,OMNI,
197,TFS-EU,THERMO,Ukraine,Lafarge-Holcim,Holcim - Shurovo,#REF!,Holcim - Shurovo,#REF!,Shurovo,2,#REF!,,OMNI,
198,SL-PSA,THERMO,Ukraine,IVANO,Ivano-Frankisk Cement,#REF!,Ivano Frankvisk,#REF!,Ukraine,01,#REF!,,OMNI,
199,SL-PSA,THERMO,Ukraine,IVANO,Ivano-Frankisk Cement,#REF!,Ivano-Frankisk Cement,#REF!,Yamintsya,02,#REF!,,OMNI,
200,TFS-EU,THERMO,Ukraine,IVANO,Ivano-Frankisk Cement,#REF!,Ivano-Frankisk Cement,#REF!,Yamintsya,3,#REF!,,EBA,
201,TFS-EU,THERMO,Ukraine,PODILSKY,Podilsky Cement,#REF!,Podilsky Cement,#REF!,Kamenets,1,#REF!,,OMNI,
202,TFS-EU,THERMO,Ukraine,PODILSKY,Podilsky Cement,#REF!,Podilsky Cement,#REF!,Kamenets,2,#REF!,,OMNI,
203,TFS-EU,THERMO,Ukraine,PODILSKY,Podilsky Cement,#REF!,Podilsky Cement,#REF!,Kamenets,3,#REF!,,OMNI,
204,TFS-EU,THERMO,Ukraine,Heidelberg,Heidelberg Cement,#REF!,Heidelberg Cement,#REF!,Kakanj Plant,1,#REF!,,O,
205,T&M,THERMO,Uzbekistan,DAL,Dal Teknik,#REF!,Dal Teknik,#REF!,Uzbekistan,1,#REF!,,OMNI-N,
206,NOT KNOWN,THERMO,Turkmenistan,KELETE,Kelete Cement Co.  ,#REF!,Kelete Cement Co.  ,#REF!,Kelete,1,#REF!,820115,CBGN,
207,NOT KNOWN,THERMO,Turkmenistan,LEBAP,Lebap Cement Plant,#REF!,Lebap Cement Plant,#REF!,Lebap,1,#REF!,822269,OMNI,
208,NOT KNOWN,THERMO,Turkmenistan,JEBEL,Jebel Cement Plant,#REF!,Jebel Cement Plant,#REF!,Jebel,1,#REF!,822253,OMNI,
209,I&C,THERMO,Turkmenistan,BAHEDAN,Bahedan Cement,#REF!,Bahedan Cement,#REF!,BAHEDAN,1,#REF!,881123,OMNI,
210,I&C,THERMO,Turkmenistan,BLIM MEKINA,Blim Mekina,#REF!,Blim Mekina,#REF!,Kelete,1,#REF!,881124,OMNI,
211,TFS-RSA,THERMO,Tanzania,Heidelberg,Tanzania Port Land Cement ,#REF!,TPCC-Tanzania,#REF!,TPCC-1,1,#REF!,821130,CBX,
212,TFS-RSA,THERMO,Tanzania,Heidelberg,Tanzania Port Land Cement ,#REF!,TPCC-Tanzania,#REF!,TPCC-2,2,#REF!,822289,OMNI,
213,TFS-RSA,THERMO,Tanzania,Dangote,DANGOTE- CEMENT-TANZANIA,#REF!,Dangote Cement Plant-Tanzania,#REF!,MITWARA,1,#REF!,,OMNI,
214,`T&M,THERMO,Tanzania,Afrisam,AFRISAM-TANZANIA,#REF!,Tanga Cement Plant,#REF!,Tanga,1,#REF!,,OMNI,
215,TF-PSA,THERMO,Tunisia,SECIL,SECIL,#REF!,Ciment De Gebes,#REF!,Gabes,1,#REF!,825060,OMNI-R,
216,TFS-RSA,THERMO,TOGO,Heidelberg,Scancem Togo cement,#REF!,Scancem Togo cement,#REF!,TOGO,1,#REF!, ,OMNI,
217,T&M,SPECTRA,UAE,Lafarge-Holcim,"Lafarge-EMCC, Dubai",#REF!,"Lafarge-EMCC, Dubai",#REF!,EMCC,1,#REF!,821070,CBX,
218,TF-PSA-EXP,THERMO,UAE,ARKAN,AMBC-1,#REF!,AMBC-1,#REF!,Al Ain-1,1,#REF!,822239,OMNI,
219,TF-PSA-EXP,THERMO,UAE,ARKAN,AMBC-2,#REF!,AMBC-2,#REF!,Al Ain-2,2,#REF!,822241,OMNI,
220,TF-PSA-EXP,THERMO,UAE,ARKAN,AMBC-3,#REF!,AMBC-3,#REF!,Al Ain-3,3,#REF!,822240,OMNI,
221,TF-PSA-EXP,THERMO,UAE,ARKAN,AMBC-4,#REF!,AMBC-4,#REF!,Al Ain-4,4,#REF!,822242,OMNI,
222,TF-PSA-EXP,SPECTRA,UAE,Aditya Birla,Star Cement Company,#REF!,Star Cement Company,#REF!,Star,1,#REF!,821115,OMNI-R,
223,SL-PSA-EXP,SPECTRA,UAE,FCI,Fujairah Cement Co,#REF!,Fujairah Cement Co,#REF!,FUJAIRAH,01,#REF!,821153,CBX,
224,TF-PSA,THERMO,UAE,SHARJAH,Sharjah Cement Company,#REF!,Sharjah Cement Company,#REF!,Sharajh,1,#REF!,822153,OMNI,
225,T&M,SPECTRA,UAE,Pioneer,Pioneer Cement,#REF!,Pioneer Cement,#REF!,pioneer,1,#REF!, ,OMNI,
226,SL-PSA,SPECTRA,UAE,JSW,JSW CEMENT COMP.,#REF!,JSW CEMENT COMP.,#REF!,JSW,1,#REF!, ,OMNI,
227,NOT WORKING,SPECTRA,Yeman,AMRAN,Amran Cement Co. (IHI)-1,#REF!,Amran Cement Co. (IHI)-1,#REF!,Amran-1,1,#REF!,821007,CBX,
228,NOT WORKING,SPECTRA,Yeman,AMRAN,Amran Cement Co. (IHI)-2,#REF!,Amran Cement Co. (IHI)-2,#REF!,Amran-2,2,#REF!,821008,CBX,
229,SL-PSA,SPECTRA,South Africa,Afrisam,Afrisam-South Africa,#REF!,Afrisam-South Africa,#REF!,Dudfield,01,#REF!,,CBA-GN,
230,SL-PSA,SPECTRA,South Africa,Afrisam,Afrisam-South Africa,#REF!,Afrisam-South Africa,#REF!,Ulco,01,#REF!,,CBX,
231,TFS-RSA,THERMO,South Africa,Dangote,DANGOTE- CEMENT-SOUTH AFRICA,#REF!,DANGOTE- CEMENT-SOUTH AFRICA,#REF!,Sephaku ,1,#REF!,,OMNI,
232,TFS-RSA,THERMO,South Africa,NATAL,Natal Portland Cement,#REF!,Natal Portland Cement,#REF!,Simuma,1,#REF!,,OMNI,
233,TFS-RSA,THERMO,South Africa,PRETORIA,Pretoria Portland Cement,#REF!,PPC - De Hoek Plant,#REF!,De Hoek,1,#REF!,,OMNI,
234,TFS-RSA,THERMO,South Africa,PRETORIA,Pretoria Portland Cement,#REF!,PPC Dwaalboom Plant,#REF!,Limpopo,1,#REF!,,OMNI,
235,TFS-RSA,THERMO,South Africa,PRETORIA,Pretoria Portland Cement,#REF!,PPC Dwaalboom Plant,#REF!,Limpopo,2,#REF!,,OMNI,
236,TFS-RSA,THERMO,Zambia,Dangote,DANGOTE- CEMENT-ZAMBIA,#REF!,DANGOTE- CEMENT-ZAMBIA,#REF!,DCP-ZAMBIA,1,#REF!,,OMNI,
237,TFS-RSA,THERMO,Zambia,MPANDE,Mpande Limeston Limited,#REF!,Mpande Limeston Limited,#REF!,Mpande,1,#REF!,,OMNI,
238,TFS-RSA,THERMO,Zambia,Lafarge-Holcim,Lafarge Cement- Zambia,#REF!,Lafarge Cement- Zambia,#REF!,Lafarge-Zambia,1,#REF!,,OMNI,

























SN,STATUS,ACCOUNT,Country,GROUP,PARENT COMPANY NAME,PARENT COMPNAY CODE,Plant Name,PLANT CODE,Site Name,SITE CODE,System SN,Model
1,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,"Lafarge-Algerian Cement Co, (LCM)",#REF!,Hydra-1,#REF!,821002,CBX
2,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,"Lafarge-Algerian Cement Co, (LCM)",#REF!,Hydra-2,#REF!,821003,CBX
3,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,Lafarge-Ciba Cement Company-(LCO),#REF!,Ciba Grey,#REF!,821083,CBX
4,SL-PSA,SPECTRA,Algeria,Lafarge-Holcim,LafargeHolcim-Algeria,#REF!,Lafarge--CILAS cement SPA (CILAS),#REF!,Cilas,#REF!,,OMNI
5,SL-PSA,SPECTRA,Azerbaijan,NORM,Norm Cement Company,#REF!,Norm Cement Company,#REF!,Norm-1,#REF!,891119,OMNI
6,SL-PSA,SPECTRA,Azerbaijan,NORM,Norm Cement Company,#REF!,Norm Cement Company,#REF!,Norm-2,#REF!,891120,OMNI
7,SL-PSA,SPECTRA,Congo,Dangote,Dangote Cement-Congo,#REF!,Dangote Cement-Congo,#REF!,Congo,#REF!, ,OMNI
8,TF-PSA,THERMO,Egypt,RAMLIYA,ACC-Ramliya Cement Company,#REF!,ACC-Ramliya Cement Company,#REF!,Ramliya,#REF!,825072,OMNI-R
9,TF-PSA,THERMO,Egypt,AMREYAH,"Amreyah Cement Co.,Egypt",#REF!,"Amreyah Cement Co.,Egypt",#REF!,Amreyah,#REF!,826025,OMNI-R
10,SL-PSA,SPECTRA,Ethiopia,Dangote,DANGOTE- CEMENT-ETHIOPEA,#REF!,DANGOTE CEMENT-ETHIOPEA,#REF!,DC-ETHIOPIA 1,#REF!,,OMNI
11,SL-PSA,SPECTRA,Iraq,Lafarge-Holcim,Lafrage-Bazian Cement Company-Iraq,#REF!,Lafrage-Bazian Cement Company-Iraq,#REF!,Baizan,#REF!,821090,CBX
12,TF-PSA,THERMO,Lebanon,SECIL,Ciment De Sibline Company ,#REF!,Ciment De Sibline Company ,#REF!,Sibline,#REF!,820036,OMNI-R
13,TF-PSA,THERMO,Lebanon,Cimenterie,Cimenterie National Cement Company,#REF!,Cimenterie National Cement Company,#REF!,Chekka 2,#REF!,820050,OMNI-R
14,TF-PSA,THERMO,Lebanon,Cimenterie,Cimenterie National Cement Company,#REF!,Cimenterie National Cement Company,#REF!,Chekka-4,#REF!,822307,OMNI
15,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Settat-Cement Plant,#REF!,Settat-1,#REF!,821059,OMNI-R
16,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Settat-Cement Plant,#REF!,Settat-2,#REF!,821060,OMNI-R
17,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Fes-Cement Plant,#REF!,Fes-1,#REF!,822195,OMNI
18,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Fes-Cement Plant,#REF!,Fes-2,#REF!,822196,OMNI
19,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim-Oujda- Cement Plant,#REF!,Oujda,#REF!,825051,EBA
20,SL-PSA,SPECTRA,Nigeria,Lafarge-Holcim,Lafarge-UCC-Calabar Cement Company,#REF!,Lafarge-UCC-Calabar Cement Company,#REF!,Calabar-1,#REF!,821066,CBX
21,SL-PSA,SPECTRA,Nigeria,Lafarge-Holcim,Lafarge-UCC-Calabar Cement Company,#REF!,Lafarge-UCC-Calabar Cement Company,#REF!,Calabar-2,#REF!, ,OMNI
22,SL-PSA,SPECTRA,Nigeria,Lafarge-Holcim,Lafarge-UCC-Calabar Cement Company,#REF!,Lafarge-UCC-Calabar Cement Company,#REF!,Calabar-3,#REF!, ,OMNI
23,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Obajana Cement Plant-Dangote,#REF!,Obajana-1,#REF!,821010,CBX-OMNI-R
24,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Obajana Cement Plant-Dangote,#REF!,Obajana-2,#REF!,822224,OMNI
25,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Obajana Cement Plant-Dangote,#REF!,Obajana-3,#REF!,821147,OMNI
26,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Nigeria-Obajana Cement Plant,#REF!,Obajana-4,#REF!,823207,OMNI
27,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-1,#REF!,822202,OMNI
28,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-2,#REF!,822203,OMNI
29,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-3,#REF!,822204,OMNI
30,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-4,#REF!,822205,OMNI
31,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-5,#REF!,,OMNI
32,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-6,#REF!,,OMNI
33,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-7,#REF!,,OMNI
34,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-8,#REF!,,OMNI
35,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Benue Cement Company,#REF!,Benue-1,#REF!,822293,OMNI
36,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Benue Cement Company,#REF!,Benue-2,#REF!,822294,OMNI
37,SL/TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Nigeria-Okapella Cement Plant,#REF!,Okapella,#REF!,,OMNI
38,SL/TF-PSA,THERMO,Pakistan,Fauji foundation,FAUJI CEMENT CO.,#REF!,FAUJI CEMENT-Fateh Jhang,#REF!,FAUJI-1,#REF!,823110,OMNI
39,TF-PSA,THERMO,Pakistan,Fauji foundation,Fauji Cement -Nizampur (Askari Cement),#REF!,Fauji Cement -Nizampur (Askari Cement),#REF!,Askari-1,#REF!,823129,OMNI
40,TF-PSA,THERMO,Pakistan,Fauji foundation,Fauji Cement -Nizampur (Askari Cement),#REF!,Fauji Cement -Nizampur (Askari Cement),#REF!,Askari-2,#REF!,823130,OMNI
41,TF-PSA,THERMO,Qatar,Al Khalij,Al Khalij cement-GCC-Doha,#REF!,Al Khalij cement-GCC-Doha,#REF!,GCC-1,#REF!,821150,CBX
42,SL-PSA,SPECTRA,Saudi,NRCC,Norther Region Cement (NRCC),#REF!,Norther Region Cement (NRCC),#REF!,NRCC-1,#REF!,821100,CBX
43,SL-PSA,SPECTRA,Saudi,NRCC,Norther Region Cement (NRCC),#REF!,Norther Region Cement (NRCC),#REF!,NRCC-2,#REF!,822321,OMNI
44,TF-PSA,THERMO,Saudi ,UACC,UMM AL-QURA Cement Company (UACC),#REF!,UMM AL-QURA Cement Company (UACC),#REF!,UACC1,#REF!,981192,OMNI
45,SL-PSA,SPECTRA,Senegal,Dangote,DANGOTE CEMENT-SENEGAL,#REF!,DANGOTE CEMENT-SENEGAL,#REF!,DCP-SENEGAL,#REF!,82285,OMNI
46,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,Buyuk-1,#REF!,826024,OMNI-R
47,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,AKCANSA CEMENT- BUYUKCEKMECE PLANT,#REF!,Buyuk-2,#REF!,824083,OMNI
48,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,Chanakale-1,#REF!,826035,OMNI-R
49,SL/TF-PSA,SPECTRA,Turkey,AKCANSA,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,AKCANSA CEMENT-CANAKKALE PLANT,#REF!,Chanakale-2,#REF!,824082,OMNI
50,TF-PSA,THERMO,Turkey,CIMSA,Cimsa- Eskeshir- Cement,#REF!,Cimsa- Eskeshir- Cement,#REF!,Eskeshir,#REF!,821123,OMNI-R
51,TF-PSA,THERMO,Turkey,CIMSA,Cimsa-Marsin Cement,#REF!,Cimsa-Marsin Cement,#REF!,Marsin-1,#REF!,891105,OMNI
52,TF-PSA,THERMO,Turkey,CIMSA,Cimsa-Marsin Cement,#REF!,Cimsa-Marsin Cement,#REF!,Marsin-2,#REF!,891104,OMNI
53,TF-PSA,THERMO,Turkey,CIMSA,Cimsa-Keyseri Cement,#REF!,Cimsa-Keyseri Cement,#REF!,Keysire,#REF!,891103,OMNI
54,SL-PSA,SPECTRA,Turkey,LIMAK,Lemak-Sanliurfa Cement Plant,#REF!,Lemak-Sanliurfa Cement Plant,#REF!,Sanliurfa,#REF!,822221,OMNI
55,SL-PSA,SPECTRA,Turkey,LIMAK,Limak-Trakya Cement,#REF!,Limak-Trakya Cement,#REF!,Trakya,#REF!, ,OMNI
56,SL-PSA,SPECTRA,Turkey,LIMAK,Limak-Trakya (Ankara) Cement Plant,#REF!,Limak-Trakya (Ankara) Cement Plant,#REF!,Set  Ankara (Trakya),#REF!,821121,CBX
57,SL-PSA,SPECTRA,Turkey,LIMAK,Limak-Balikesir Cement,#REF!,Limak-Balikesir Cement,#REF!,Balikesir,#REF!,891112,OMNI
58,TF-PSA,THERMO,Turkey,GOLTAS,Goltas Cement Company,#REF!,Goltas Cement Company,#REF!,Goltas-1,#REF!,822187,OMNI
59,TF-PSA,THERMO,Turkey,GOLTAS,Goltas Cement Company,#REF!,Goltas Cement Company,#REF!,Goltas-2,#REF!,822188,OMNI
60,SL-PSA,SPECTRA,Turkey,ASKALE,Askale-Von Cement Plant,#REF!,Askale-Von Cement Plant,#REF!,Von,#REF!,822313,OMNI
61,SL-PSA,SPECTRA,Turkey,ASKALE,Askale-Erzurum-Cement Plant,#REF!,Askale-Erzurum-Cement Plant,#REF!,Erzurim,#REF!,822319,OMNI
62,SL-PSA,SPECTRA,Turkey,ASKALE,Asakale-Gumushane Ceement Plant,#REF!,Asakale-Gumushane Ceement Plant,#REF!,Gumushane,#REF!,822330,OMNI
63,TF-PSA,THERMO,Turkey,BATICEM,Baticem Cement Plant,#REF!,Baticem Cement Plant,#REF!,Baticem,#REF!,822337,OMNI
64,TF-PSA,THERMO,Turkey,BATISOKE,Batisoke Cement Plant,#REF!,Batisoke Cement Plant,#REF!,Batisoke-1,#REF!,823132,OMNI
65,TF-PSA,THERMO,Turkey,BATISOKE,Batisoke Cimento,#REF!,Batisoke Cimento,#REF!,Batisoke-2,#REF!,823133,OMNI-N
66,TF-PSA,THERMO,Turkey,BATISOKE,Batisoke Cimento,#REF!,Batisoke Cimento,#REF!,Batisoke-3,#REF!,891113,OMNI-N
67,SL-PSA,THERMO,Ukraine,IVANO,Ivano-Frankisk Cement,#REF!,Ivano Frankvisk,#REF!,Ukraine,#REF!,,OMNI
68,SL-PSA,THERMO,Ukraine,IVANO,Ivano-Frankisk Cement,#REF!,Ivano-Frankisk Cement,#REF!,Yamintsya,#REF!,,OMNI
69,TF-PSA,THERMO,Tunisia,SECIL,SECIL,#REF!,Ciment De Gebes,#REF!,Gabes,#REF!,825060,OMNI-R
70,SL-PSA-EXP,SPECTRA,UAE,FCI,Fujairah Cement Co,#REF!,Fujairah Cement Co,#REF!,FUJAIRAH,#REF!,821153,CBX
