
SN,STATUS,ACCOUNT,Country,GROUP,PARENT COMPANY NAME,PARENT COMPNAY CODE,Plant Name,PLANT CODE,Site Name,X,SITE CODE,System SN,Model,
37,SL-PSA,SPECTRA,Iraq,Lafarge-Holcim,Lafrage-Bazian Cement Company-Iraq,#REF!,Lafrage-Bazian Cement Company-Iraq,#REF!,Baizan,01,#REF!,821090,CBX,
38,NOT INSTALLED,SPECTRA,Iraq,Qarachog,KAR Cement Company,#REF!,KAR Cement Company,#REF!,Qarachog,01,#REF!,,OMNI,
39,TF-PSA-EXP,THERMO,Jordan,Lafarge-Holcim,Lafarge-Rashadiya Cement Plant,#REF!,Lafarge-Rashadiya Cement Plant,#REF!,Rashadiya-1,01,#REF!,821139,CBX,
40,TF-PSA-EXP,THERMO,Jordan,Lafarge-Holcim,Lafarge-Rashadiya Cement Plant,#REF!,Lafarge-Rashadiya Cement Plant,#REF!,Rashadiya-2,02,#REF!,821140,CBX,
41,NOT WORKING,THERMO,Jordan,Lafarge-Holcim,Lafarge-Fuhais Cement Plant,#REF!,Lafarge-Fuhais Cement Plant,#REF!,Fuhais-1,01,#REF!,821137,CBX,
42,NOT WORKING,THERMO,Jordan,Lafarge-Holcim,Lafarge-Fuhais Cement Plant,#REF!,Lafarge-Fuhais Cement Plant,#REF!,Fuhais-2,02,#REF!,821138,CBX,
43,NOT INSTALLED,SPECTRA,Jordan,Al Qatrana,AL Qatrana Cement Company,#REF!,AL Qatrana Cement Company,#REF!,Qatrana,01,#REF!, ,OMNI,
44,T&M,THERMO,Jordan,UTILITY,COAL ANALYZER,#REF!,COAL ANALYZER IN JORDAN,#REF!,UTILITY,01,#REF!,,ECA,
45,NOT KNOWN,THERMO-EU,Kazakhstan,Caspi,Caspi Cement,#REF!,Caspi Cement,#REF!,Shetpe,01,#REF!,,OMNI,
46,TFS-EU,THERMO,Kazakhstan,Kokshe,Kokshe Cement,#REF!,Kokshe Cement,#REF!,Kokshe-1,01,#REF!,,CBX,
47,TFS-EU,THERMO,Kazakhstan,Kokshe,Kokshe Cement,#REF!,Kokshe Cement,#REF!,Kokshe-2,02,#REF!,,CBX,
48,TFS-EU,THERMO,Kazakhstan,UTILITY,"Coal analyzer Project-2 ECA, 2 CQM",#REF!,COAL ANALYZER IN KAZA,#REF!,KAZAKISTAN,01,#REF!,,ECA,
49,T&M,SPECTRA,Lebanon,LafargeHolcim,Lafarge-Holcim Cement Company Liban,#REF!,Lafarge-Holcim Cement Company Liban,#REF!,Chekka 1,01,#REF!,820021,CBA-GN,
50,T&M,SPECTRA,Lebanon,LafargeHolcim,Lafarge-Holcim Cement Company Liban,#REF!,Lafarge-Holcim Cement Company Liban,#REF!,Chakka-3,02,#REF!,821081,CBX,
51,TF-PSA,THERMO,Lebanon,SECIL,Ciment De Sibline Company ,#REF!,Ciment De Sibline Company ,#REF!,Sibline,01,#REF!,820036,OMNI-R,
52,TF-PSA,THERMO,Lebanon,Cimenterie,Cimenterie National Cement Company,#REF!,Cimenterie National Cement Company,#REF!,Chekka 2,01,#REF!,820050,OMNI-R,
53,TF-PSA,THERMO,Lebanon,Cimenterie,Cimenterie National Cement Company,#REF!,Cimenterie National Cement Company,#REF!,Chekka-4,02,#REF!,822307,OMNI,
54,TF-PSA-EXP,THERMO,Libya,AUCC,Arab Union Cement Company,#REF!,Arab Union Cement Company,#REF!,AUCC,01,#REF!,821135,CBX,
55,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Settat-Cement Plant,#REF!,Settat-1,01,#REF!,821059,OMNI-R,
56,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Settat-Cement Plant,#REF!,Settat-2,02,#REF!,821060,OMNI-R,
57,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Fes-Cement Plant,#REF!,Fes-1,01,#REF!,822195,OMNI,
58,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim -Fes-Cement Plant,#REF!,Fes-2,02,#REF!,822196,OMNI,
59,TF-PSA,THERMO,Morocco,LafargeHolcim,Lafarge-Holcim Morocco,#REF!,Lafarge-Holcim-Oujda- Cement Plant,#REF!,Oujda,01,#REF!,825051,EBA,
60,T&M,SPECTRA,Morocco,CIMAR,Ciment Du Maroc,#REF!,Ciment Du Maroc-Ait Baha Cement ,#REF!,Ait Baha,01,#REF!,822175,OMNI,
61,T&M,SPECTRA,Morocco,CIMAR,Ciment Du Maroc,#REF!,Ciment Du Maroc-Safi Cement Plant,#REF!,Safi,01,#REF!,822151,OMNI,
62,NOT KNOWN,TFS-INDIA,Nepal,SAMRT,Samrat Cement,#REF!,Samrat Cement,#REF!,Kamanpur,01,#REF!,,OMNI,
63,SL-PSA,SPECTRA,Nigeria,Lafarge-Holcim,Lafarge-UCC-Calabar Cement Company,#REF!,Lafarge-UCC-Calabar Cement Company,#REF!,Calabar-1,01,#REF!,821066,CBX,
64,SL-PSA,SPECTRA,Nigeria,Lafarge-Holcim,Lafarge-UCC-Calabar Cement Company,#REF!,Lafarge-UCC-Calabar Cement Company,#REF!,Calabar-2,02,#REF!, ,OMNI,
65,SL-PSA,SPECTRA,Nigeria,Lafarge-Holcim,Lafarge-UCC-Calabar Cement Company,#REF!,Lafarge-UCC-Calabar Cement Company,#REF!,Calabar-3,03,#REF!, ,OMNI,
66,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Obajana Cement Plant-Dangote,#REF!,Obajana-1,01,#REF!,821010,CBX-OMNI-R,
67,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Obajana Cement Plant-Dangote,#REF!,Obajana-2,02,#REF!,822224,OMNI,
68,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Obajana Cement Plant-Dangote,#REF!,Obajana-3,03,#REF!,821147,OMNI,
69,TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Nigeria-Obajana Cement Plant,#REF!,Obajana-4,04,#REF!,823207,OMNI,
70,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-1,01,#REF!,822202,OMNI,
71,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-2,02,#REF!,822203,OMNI,
72,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-3,03,#REF!,822204,OMNI,
73,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-4,04,#REF!,822205,OMNI,
74,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-5,05,#REF!,,OMNI,
75,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-6,06,#REF!,,OMNI,
76,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-7,07,#REF!,,OMNI,
77,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Ibessa Cement Plant,#REF!,Ibessa-8,08,#REF!,,OMNI,
78,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Benue Cement Company,#REF!,Benue-1,01,#REF!,822293,OMNI,
79,SL-PSA,SPECTRA,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Benue Cement Company,#REF!,Benue-2,02,#REF!,822294,OMNI,
80,SL/TF-PSA,THERMO,Nigeria,Dangote,Dangote Cement-Nigeria,#REF!,Dangote-Nigeria-Okapella Cement Plant,#REF!,Okapella,01,#REF!,,OMNI,
81,T&M,THERMO,Nigeria,BUA,Bua Cement Co.,#REF!,Bua Cement-Edu Plant,#REF!,Edu-1,01,#REF!,,OMNI,
82,T&M,THERMO,Nigeria,BUA,Bua Cement Co.,#REF!,Bua Cement-Edu Plant,#REF!,Edu-2,02,#REF!,,OMNI,
83,I&C,THERMO,Nigeria,BUA,Bua Cement Co.,#REF!,Bua Cement-Edu Plant,#REF!,Edu-3,03,#REF!,,OMNI,
84,T&M,THERMO,Nigeria,BUA,Bua Cement Co.,#REF!,Bua Cement-Sokoto Plant,#REF!,Sokoto-1,01,#REF!,,OMNI,
85,I&C,THERMO,Nigeria,BUA,Bua Cement Co.,#REF!,Bua Cement-Sokoto Plant,#REF!,Sokoto-2,02,#REF!,,OMNI,
86,I&C,THERMO,Nigeria,MANGAL,MANGAL INDUSTRIES LTD,#REF!,MANGAL INDUSTRIES LTD,#REF!,MANGAL-1,01,#REF!,,OMNI,
87,I&C,THERMO,Nigeria,MANGAL,MANGAL INDUSTRIES LTD,#REF!,MANGAL INDUSTRIES LTD,#REF!,MANGAL-1,02,#REF!,,OMNI,
88,SL-PSA-EXP,SPECTRA,Oman,OCC,Oman Cement Company,#REF!,Oman Cement Company,#REF!,OCC-1,01,#REF!,822193,OMNI,
